,foodcourt,restaurant,restaurantmenuitem,Accuracy_Deep_AR
168,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b648,0.3214285714285714
175,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b652,0.6726190476190477
182,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b653,0.4285714285714286
189,5f3652cde091b809e2467d96,6004167c1595960a72f31707,643fbd6ff639e90017a2379c,0.5455266955266955
196,5f3652cde091b809e2467d96,6004167c1595960a72f31707,643fbd6ff639e90017a237a0,0.9019512105917636
203,5f3652cde091b809e2467d96,6004167c1595960a72f31707,643fbd70f639e90017a237ab,0.4285714285714286
210,5f3652cde091b809e2467d96,6004167c1595960a72f31707,647d8c7fb733e9001b5027fc,0.626984126984127
217,5f3652cde091b809e2467d96,6004167c1595960a72f31707,647d8c7fb733e9001b502809,0.5272108843537415
224,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeddab717001b948d4f,0.6928378638904955
231,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeddab717001b948d53,0.826203593531808
238,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeedab717001b948d7a,0.4174787344492815
245,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeedab717001b948dc1,0.2857142857142857
252,5f3652cde091b809e2467d96,6296dc1c8eeb0973341fc168,646de6dbdab717001b948cfc,0.7142857142857143
259,5f3652cde091b809e2467d96,6296dc1c8eeb0973341fc168,647b5a87b733e9001b501ce3,0.7683205669974846
266,5f3652cde091b809e2467d96,629b32fde44c8e62a76400f7,64259a97c2b9d60017dbf0ca,0.7199023199023199
273,5f3652cde091b809e2467d96,629b32fde44c8e62a76400f7,64259a97c2b9d60017dbf0dc,0.7660997732426305
280,5f3652cde091b809e2467d96,629b32fde44c8e62a76400f7,64259a97c2b9d60017dbf0f6,0.7139717425431711
287,5f3652cde091b809e2467d96,64eca95e15331c001857629b,65717d8b187602001bd26641,0.8571428571428572
294,5f3652cde091b809e2467d96,659e78e5b1bc68001a7d2e9b,659e7ccc287ad900177e80d5,0.8571428571428572
301,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,650558affd66ea001b6dfb2b,0.7321297749869178
308,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,650558b0fd66ea001b6dfb31,0.9010989010989011
315,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,650558b0fd66ea001b6dfb3b,0.5397435897435897
322,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,650558b0fd66ea001b6dfb4f,0.9323308270676691
329,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,650558b0fd66ea001b6dfb59,0.7805146674054237
336,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,6566efbc746fa3001c0034b4,0.6182539682539683
343,605037bf0fc3830497b79f23,605039a60fc3830497b79f2e,6438c982c387c7001bc5dfdc,0.6651360544217687
350,605037bf0fc3830497b79f23,605039a60fc3830497b79f2e,6438c982c387c7001bc5dfe1,0.4217687074829932
357,60503811f7ec2b05cc8cd439,60503a9ff7ec2b05cc8cd446,63fd7dccecea05001bcf80b6,0.5843179377013963
364,60503811f7ec2b05cc8cd439,60503a9ff7ec2b05cc8cd446,63fd7dcdecea05001bcf80bf,0.2857142857142857
371,60503811f7ec2b05cc8cd439,60503a9ff7ec2b05cc8cd446,63fd7dcdecea05001bcf80c1,0.6666666666666666
378,60503811f7ec2b05cc8cd439,63c101e857c42200179bbeb0,6438eabb850c2c00177a1d31,0.4301587301587302
385,60503811f7ec2b05cc8cd439,64885729901600001bd61299,63fd7dccecea05001bcf806a,0.41841736694677867
392,60503811f7ec2b05cc8cd439,64885729901600001bd61299,64885f42f07e1a001757cc63,0.66623964592188
399,60503811f7ec2b05cc8cd439,64885729901600001bd61299,64885f5d901600001bd612ba,0.50721964061347
406,60503811f7ec2b05cc8cd439,64885729901600001bd61299,64885fb2901600001bd612c1,0.5714285714285714
413,60503811f7ec2b05cc8cd439,64885729901600001bd61299,651bc72deab5a8001b85e03a,0.31746031746031744
420,60503811f7ec2b05cc8cd439,64d320aeccff09001c48b8d4,64d3224c30769e001b1c4adb,0.8571428571428572
427,60503811f7ec2b05cc8cd439,64d320aeccff09001c48b8d4,64d3229d30769e001b1c4ae3,0.8571428571428572
434,6051d1f64ec6952ca5b45dba,6053268e4ec6952ca5b46330,619dbe52af9b4e30f3da5553,0.794338341397165
441,6051d1f64ec6952ca5b45dba,6053268e4ec6952ca5b46330,647d61cfb733e9001b5020d1,0.45408163265306123
448,6051d1f64ec6952ca5b45dba,6053268e4ec6952ca5b46330,647d61cfb733e9001b5020d6,0.41688311688311686
455,6051d1f64ec6952ca5b45dba,626f96886ea9037357d4496d,6538e228dbc93a001b28e814,0.47619047619047616
462,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac422,0.60392004309055
469,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac427,0.41836734693877553
476,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac428,0.8212675109569519
483,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac434,0.8308913308913308
490,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,647d69c33231c30017b6f2a9,0.829683021691586
497,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,647d69c33231c30017b6f2af,0.7269536019536019
504,6051d1f64ec6952ca5b45dba,659e78e5b1bc68001a7d2e9b,659e7ccc287ad900177e80d5,0.8571428571428572
511,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2de384fed00177a5e4d,0.7314186995038059
518,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2de384fed00177a5e54,0.4285714285714286
525,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5e79,0.4357142857142857
532,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5e8f,0.7142857142857143
539,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5e93,0.2914285714285715
546,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5eb9,0.6027286931032576
553,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef6e5f69c61001701b014,0.7142857142857143
560,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,655323630f48b1001bbec31d,0.3452380952380951
567,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,6553250e53ba7b00177ea68c,0.8220677047985288
574,6053428bab9cfa30be36b00e,62555f02b89e13678756ca62,643838c6c387c7001bc5da2e,0.45238095238095233
581,6053428bab9cfa30be36b00e,64d320aeccff09001c48b8d4,64d3224c30769e001b1c4adb,0.8571428571428572
588,6053428bab9cfa30be36b00e,64d320aeccff09001c48b8d4,64d3229d30769e001b1c4ae3,0.8571428571428572
595,60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64c228f14842f500121f7074,0.7744360902255639
602,60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64d08471866e7c001ba6683e,0.7571428571428571
609,60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64d08678443198001b0d9b11,0.5756848193822983
616,60587d3eb6dfef46f7241a34,652e60520c07dc00113fa720,659bfca5649b99001be13496,0.5714285714285714
623,60587d3eb6dfef46f7241a34,652e60520c07dc00113fa720,659bfe888933d00017f8272e,0.5714285714285714
630,60587d3eb6dfef46f7241a34,659e78e5b1bc68001a7d2e9b,65c1ac41a81c2b001b4af08f,0.8571428571428572
637,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b449,0.5918367346938775
644,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b46b,0.8030318965192915
651,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b470,0.856404497282784
658,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f557ee4b001bf6b475,0.8232869735916145
665,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f557ee4b001bf6b476,0.779333955804544
672,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9777,0.8445456049238702
679,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9786,0.7672500371968457
686,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c978f,0.7543866007552428
693,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9794,0.6893424036281179
700,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9799,0.5313852813852814
707,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c979a,0.6636734263597912
714,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c979d,0.8571428571428572
721,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c97a0,0.8891056422569028
728,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64d616c933c4d400173647ac,0.8571428571428572
735,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9817,0.8430042390102801
742,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c981d,0.6731063908483264
749,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9833,0.7162698412698413
756,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9840,0.9251526697635576
763,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9845,0.2857142857142857
770,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35778eb5500179c988c,0.7465986394557823
777,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35778eb5500179c988d,0.8256802721088435
784,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a998,0.9031970830290158
791,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9a3,0.5439775910364145
798,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9a6,0.5468768074031232
805,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9b3,0.7089569160997733
812,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9cd,0.7056277056277056
819,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c007,0.7535382574082264
826,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c00a,0.5714285714285714
833,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c013,0.9512560260680561
840,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c01e,0.7575757575757576
847,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,64f301124c59cf001197464f,0.8496842430665961
854,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,64f301124c59cf0011974650,0.5357142857142858
861,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,64f301124c59cf0011974651,0.7815359477124183
868,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,6502e58c4965a6001be6ce0c,0.46031746031746035
875,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,6502e58c4965a6001be6ce0e,0.6222943722943723
882,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,6502e58c4965a6001be6ce11,0.6114035508445446
889,61529bb6364f2332c0fe8b1c,6242ed358e490f761b61c245,64f2fe344c59cf00119743f9,0.827891156462585
896,61529bb6364f2332c0fe8b1c,6242ed358e490f761b61c245,64f2fe344c59cf0011974405,0.8473054439166972
903,61529bb6364f2332c0fe8b1c,6242ed358e490f761b61c245,64f2fe344c59cf0011974412,0.7151260504201681
910,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,64f301b166de2f0017e4beea,0.6768707482993197
917,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,64f301b166de2f0017e4beeb,0.6854003139717425
924,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,64f301b166de2f0017e4beec,0.857404500261643
931,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,6502e895d149db001b1f529b,0.7284580498866213
938,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,6502e895d149db001b1f529d,0.7672062237279629
945,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,6502e895d149db001b1f529e,0.4285714285714286
952,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd338c8,0.6730158730158731
959,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd338e4,0.7514533085961657
966,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd338f8,0.7857142857142857
973,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd3390b,0.5238095238095238
980,618607cac665f41f98e72227,638458e1915f54780b60c644,657c6c48aa5e7f001b51cc77,0.8095238095238095
987,61860849afbe0942bbd4ce18,61867189cbd33c2fa05aa2ee,657d28e7fe9d76001b79de4d,0.7542457542457542
994,61860849afbe0942bbd4ce18,6384556fcaacf67dd999ee02,647d7b319a688000173320be,0.4047619047619049
1001,61860849afbe0942bbd4ce18,6384556fcaacf67dd999ee02,647d7b319a688000173320db,0.5238095238095238
1008,61860f8c2d415a4a5c52e822,6242eae58e490f761b61c1f1,64f2fef676868b00110d2e4a,0.8323412698412698
1015,61860f8c2d415a4a5c52e822,6242eae58e490f761b61c1f1,64f2fef676868b00110d2e53,0.9241758241758241
1022,61860f8c2d415a4a5c52e822,6242eae58e490f761b61c1f1,64f2fef676868b00110d2e5d,0.81567242281528
1029,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,64f3016776868b00110d2eee,0.8172541743970315
1036,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,64f3016776868b00110d2ef1,0.7285714285714286
1043,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,64f3016776868b00110d2ef7,0.3809523809523808
1050,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,6502e99b6ce312001b5e188c,0.9225885225885225
1057,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,6502e99b6ce312001b5e1893,0.4285714285714286
1064,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,6502e9b58faeb9001bbc3e82,0.6857142857142857
1071,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304cf9d34a3001730c13e,0.8666666666666667
1078,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304d09d34a3001730c147,0.7142857142857143
1085,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304d09d34a3001730c14e,0.8763100134763832
1092,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304d09d34a3001730c155,0.488095238095238
1099,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2acb,0.5857142857142857
1106,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2acc,0.6133670616429236
1113,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2af3,0.6974953617810761
1120,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2bc7,0.4285714285714286
1127,61862d3cc680d0688d9d3139,647edb7b42050e001bbab8ab,6577e4b2a788f1001baf4036,0.8571428571428572
1134,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf25,0.8206317566680601
1141,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf28,0.2857142857142857
1148,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf35,0.7383986928104576
1155,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf3d,0.2857142857142857
1162,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad866de2f0017e4bf67,0.6135679235409693
1169,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad866de2f0017e4bf69,0.5535714285714286
1176,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad866de2f0017e4bf6b,0.3021978021978021
1183,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c4,0.7004551820728291
1190,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c5,0.7807858807858807
1197,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c6,0.5717377860235003
1204,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c8,0.7035147392290249
1211,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c9,0.6825226347865029
1218,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,65b8ddfb4a13070017386fdf,0.6658008658008658
1225,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,65bc8fea4314c6001b422694,0.9285658590921749
1232,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6066de2f0017e4c19d,0.7743961352657005
1239,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6066de2f0017e4c1a5,0.6233599733599733
1246,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6066de2f0017e4c1ab,0.2857142857142857
1253,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6166de2f0017e4c1c6,0.5091338259441708
1260,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6166de2f0017e4c1c9,0.5554112554112554
1267,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3b,0.6904452690166976
1274,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3c,0.6683673469387754
1281,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3d,0.7174603174603175
1288,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3f,0.669047619047619
1295,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f40,0.8113945578231293
1302,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f588f166de2f0017e4c887,0.7036988312130628
1309,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606a74a5cf0011c5d8e3,0.7333333333333334
1316,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606a74a5cf0011c5d8e4,0.5897292250233427
1323,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8ed,0.6642857142857143
1330,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8ee,0.5238095238095237
1337,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8fa,0.5654761904761905
1344,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8fb,0.736734693877551
1351,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d901,0.6678191276510604
1358,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d906,0.4761904761904763
1365,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d90c,0.7850857734398107
1372,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d913,0.8108843537414966
1379,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b015627,0.6190166975881262
1386,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b015634,0.6741699285494569
1393,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b015659,0.2857142857142857
1400,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b01569a,0.47575187969924815
1407,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,656d6c8f45b382001b14817a,0.7142857142857143
1414,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,656d6c8f45b382001b14817b,0.7418645873356124
1421,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,656d6c9045b382001b1481b1,0.7611985031166617
1428,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,65b8a638364d88001b2b5128,0.2857142857142857
1435,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,65b8a6654a13070017386ed8,0.4126984126984128
1442,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03de,0.6399796282149224
1449,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03df,0.8456043956043956
1456,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e0,0.8380018674136321
1463,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e1,0.6619047619047618
1470,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e2,0.7922768053202836
1477,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e8,0.8285352331514735
1484,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f0415,0.7698412698412698
1491,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f39fb0bed60017df2504,0.9065934065934066
1498,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f39fb0bed60017df251a,0.7945014493971642
1505,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f39fb0bed60017df2522,0.5389610389610389
1512,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f39fb0bed60017df252a,0.9229861899831449
1519,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f3a0b0bed60017df2531,0.8571428571428572
1526,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f3a0b0bed60017df2533,0.684981684981685
1533,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f3a0b0bed60017df2539,0.75
1540,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f3a0b0bed60017df2572,0.8571428571428572
1547,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f3a0b0bed60017df257b,0.7142857142857143
1554,61e39f4b2acc405ba5c12202,6281f1916d5a3f5e1dbdacc6,64f303bab0bed60017df2942,0.7214285714285714
1561,61e39f4b2acc405ba5c12202,647f1644918a55001b5b078e,649bf4cfc81c800017972b25,0.8571428571428572
1568,61e39f4b2acc405ba5c12202,64d320aeccff09001c48b8d4,64d3224c30769e001b1c4adb,0.7142857142857143
1575,61e39f4b2acc405ba5c12202,64d320aeccff09001c48b8d4,64d3229d30769e001b1c4ae3,0.7142857142857143
1582,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750daf62672001b21da33,0.7905052264808362
1589,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750daf62672001b21da34,0.48571428571428565
1596,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750daf62672001b21da3a,0.7872882924276652
1603,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750daf62672001b21da3c,0.7860119047619047
1610,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750daf62672001b21da4e,0.9269125193937224
1617,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750daf62672001b21da5f,0.5714285714285714
1624,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750dbf62672001b21da84,0.7570643642072213
1631,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750dbf62672001b21da85,0.7960610817753675
1638,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750dbf62672001b21dab1,0.8825174825174825
1645,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750dbf62672001b21daf2,0.7511977782566017
1652,620c8839d1702023497f3e64,6288c6562b660f3fe1b522bd,64c750dbf62672001b21db01,0.6587301587301587
